TrueLabel	PredictedLabel	Content
4	3.5386295384708113	null
4	3.721133156978711	null
1	3.6820074976770383	null
4	3.66710277805193	null
4	3.696000223982873	null
2	3.5921751766237002	null
4	3.7207844869821862	null
4	3.754860571117813	null
0	3.5348111111975142	null
4	3.8274578948174667	null
3	3.735420678380918	null
0	3.658312845180511	null
4	3.631395781964555	null
4	3.7215277539527882	null
3	3.6507404100334178	null
4	3.736123309712635	null
4	3.7289394078474154	null
4	3.689721938914672	null
2	1.3456896504677085	null
0	0.543695494311564	null
4	3.695588229472685	null
3	3.709929441209085	null
1	3.542468028582866	null
4	3.7109397001554525	null
4	3.7524309655965813	null
4	3.689504020918087	null
1	3.5624275773794816	null
4	3.641671497175653	null
4	3.6339670897649805	null
4	3.782649309472469	null
0	0.6312013511578565	null
4	3.647637794135467	null
4	3.7114463312938386	null
3	3.7041848859978153	null
4	3.7129045031522545	null
1	0.6822370522142654	null
4	3.675029379612087	null
2	0.6459161322558296	null
3	3.6427294078646066	null
1	0.6939936800069204	null
2	3.645132726052341	null
4	3.6000401265185706	null
2	3.549849681904781	null
4	3.644571412548004	null
4	3.727859980295401	null
4	3.782607526945428	null
2	2.209248671710813	null
0	0.6131335330565474	null
0	0.7450992958283574	null
4	3.6773149580418893	null
1	1.4530911733083194	null
2	0.5824863843736081	null
4	3.7310716364677985	null
4	3.773584971990094	null
3	3.62681003980177	null
1	1.3536087754184065	null
2	2.1599606694998985	null
0	0.6066672273775569	null
4	3.7630062156965844	null
3	3.645270282330438	null
4	3.693328719447109	null
0	3.670659837607956	null
4	3.70325412813682	null
1	3.6031633852448453	null
4	3.773030705838109	null
3	2.8760420390665584	null
4	3.7510066384551455	null
0	0.6164335696924476	null
2	0.5746145924098924	null
4	3.716386961832556	null
4	3.5358575604177744	null
4	3.6029537208571822	null
0	0.5776839892290495	null
0	0.5651463582899459	null
0	0.5651547605038579	null
4	3.6856511027214345	null
0	0.6352464264003881	null
4	0.6579259398889639	null
4	3.7009440853058337	null
3	3.637388757220454	null
2	2.06329238316906	null
0	3.6071920822795858	null
1	3.5471296444393694	null
0	3.640361072966759	null
3	2.884241300483605	null
0	0.43054879146977243	null
4	3.637857683248692	null
4	3.707560359344803	null
0	0.6284663831024223	null
0	3.622065668767116	null
4	3.677068679405484	null
4	3.7162459766991236	null
1	3.651605493079994	null
4	3.6459142325570184	null
1	3.6200895225311935	null
1	0.6439812922333124	null
0	3.6477125450354815	null
4	3.785050069666469	null
4	3.698998016685786	null
4	3.615148541586754	null
4	3.651086310578566	null
4	3.7742382952329807	null
1	1.369816921901697	null
4	0.6985528281499144	null
4	3.720629082780628	null
0	0.5734853645365995	null
4	3.7048504024410804	null
4	3.7603463887954107	null
4	3.696724404359648	null
4	3.7010535289461304	null
4	3.735667092252233	null
4	3.6871786983265635	null
4	3.694117772870125	null
4	3.6568185687206616	null
2	3.591901146096865	null
2	0.6600841155445965	null
2	3.550459742878475	null
4	3.730518863718963	null
4	3.735801520095347	null
3	3.722156707910553	null
4	3.639758273935693	null
4	3.6930017240539565	null
0	0.587629446492485	null
2	0.5812227236887191	null
4	3.6173606473449693	null
3	2.823644252029427	null
3	2.9522430347478954	null
4	3.7239254629738916	null
2	0.6945594264162859	null
4	3.7271770940490683	null
2	2.0715456683835196	null
4	3.7733958409883965	null
0	0.5020638067043042	null
0	0.5236724070710592	null
4	3.698462759132907	null
3	3.651059241229237	null
3	3.7284251830325745	null
3	3.623240689433757	null
3	3.673051512578155	null
0	1.3294890352188642	null
4	3.7472124454337687	null
2	3.5759850012121674	null
4	3.719701873368974	null
4	3.7022237061566945	null
4	3.6344916553251534	null
4	3.7966174777957225	null
0	0.644779287654388	null
4	3.785646972655488	null
2	0.645480959231244	null
4	3.6955201272294547	null
0	0.5272293763878896	null
1	3.7223471381653606	null
0	0.5364974064790632	null
3	3.7064872602001135	null
2	3.75864547237502	null
3	3.7569789537151936	null
4	3.7465866079761683	null
4	3.747568304172789	null
1	3.669335656389167	null
3	3.7671985181329064	null
4	3.6862671201790964	null
4	3.731240960418907	null
4	3.8138614767387367	null
4	3.6255779336299154	null
2	3.682134040684158	null
2	3.656552522882921	null
0	0.3894476083301188	null
2	3.6266998008762372	null
1	3.7811373701446387	null
4	3.6514886829552258	null
4	3.853115937379955	null
4	3.6502750885976676	null
0	0.4519009792361383	null
4	3.678437588369991	null
4	3.896904045602695	null
4	3.679765098950421	null
0	0.30832009924324416	null
0	0.6167221294830206	null
4	3.705213854582106	null
